F59,F61,F64,F109,F111,F114,F115,F116,F117,F120,F121,F122,F123,F126,F157,F158,F159,F160,F161,F162,F223,F224,F225,F228,F229,F230,F231,F234,F265,F266,F267,F268,F269,F270,F321,F527,F531,F670,F778,F844,F850,F886,F994,F996,F1102,F1104,F1212,F1320,F1428,F1492,F1498,F1536,F1692,F1926,F1932,F1966,F1968,F2034,F2040,F2074,F2076,F2082,F2122,F2142,F2148,F2182,F2184,F2285,F2481,F2578,F2582,F2678,F2686,F2737,F2779,F2956,F3043,F3502,F3504,F3532,F3534,F3610,F3612,F3640,F3642,F3748,F3750,F3836,F3887,F3894,F3898,F3908,F3913,F3914,F59_isnan,F60_isnan,F61_isnan,F62_isnan,F63_isnan,F64_isnan,F157_isnan,F159_isnan,F160_isnan,F162_isnan,F265_isnan,F267_isnan,F268_isnan,F270_isnan,F364_isnan,F365_isnan,F366_isnan,F367_isnan,F368_isnan,F369_isnan,F466_isnan,F468_isnan,F471_isnan,F568_isnan,F570_isnan,F571_isnan,F573_isnan,F2288_isnan,F2290_isnan,F2291_isnan,F2293_isnan,F2385_isnan,F2386_isnan,F2387_isnan,F2388_isnan,F2389_isnan,F2390_isnan,F2484_isnan,F2486_isnan,F2487_isnan,F2489_isnan,F2581_isnan,F2583_isnan,F2584_isnan,F2586_isnan,F2681_isnan,F2682_isnan,F2683_isnan,F2684_isnan,F2685_isnan,F2686_isnan,F2782_isnan,F2784_isnan,F2785_isnan,F2787_isnan,F2889_isnan,F2891_isnan,F2892_isnan,F2894_isnan,F2997_isnan,F2998_isnan,F2999_isnan,F3000_isnan,F3001_isnan,F3002_isnan,F3103_isnan,F3105_isnan,F3106_isnan,F3108_isnan,F_account_age_days,F_unsupervised_anomaly_score,F_balance_velocity_per_month,F_balance_velocity_per_day,F3886_Savings,F3924
0.59,0.38,0.63,0.53,0.5,0.56,0.53,0.56,0.5,0.56,0.53,0.56,0.5,0.56,0.53,0.56,0.5,0.51,0.35,0.56,0.31,0.41,0.19,0.35,0.31,0.41,0.19,0.35,0.31,0.44,0.19,0.33,0.26,0.35,1.09,1.32,1.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.85106383,0.85106383,0.936170213,0.85106383,0.8125,0.8125,0.953125,0.8125,0.0,0.009090909,0.781818182,0.781818182,0.954545455,0.781818182,0.38,1.49,-0.1,-0.08,-0.12,0.05,-0.16,-0.18,36.0,87.5,-1.0,-1.0,0.33,0.12,-1.0,-1.0,0.22,0.24,0.27,0.28,29814.53,170,30.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5266,0.09973974889816767,175.3795882352941,5.661703380174705,1.0,0
0.8,0.79,0.96,0.3,0.33,0.19,0.3,0.21,0.33,0.19,0.3,0.21,0.33,0.19,0.34,0.4,0.33,0.17,0.02,0.19,0.24,0.18,0.26,0.18,0.24,0.18,0.26,0.18,0.27,0.4,0.26,0.17,0.02,0.18,1.19,0.77,0.76,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.857142857,0.857142857,0.964285714,0.857142857,0.788461538,0.788461538,0.980769231,0.788461538,0.0,0.0,0.784946237,0.784946237,0.956989247,0.784946237,0.38,1.49,-0.1,-0.25,-0.47,-0.04,-0.05,-0.18,99.0,87.5,-1.0,-1.0,0.66,3.48,-1.0,-1.0,0.69,3.71,0.51,3.16,371320.98,169,32.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5265,0.10262637327091895,2197.1655621301775,70.52630199430199,1.0,0
0.76,0.67,0.98,0.42,0.38,0.55,0.43,0.5,0.38,0.55,0.43,0.5,0.38,0.55,0.42,0.47,0.39,0.6,0.65,0.56,0.33,0.44,0.25,0.54,0.33,0.44,0.25,0.54,0.32,0.41,0.26,0.57,0.6,0.54,1.25,1.37,1.68,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.482758621,0.482758621,0.965517241,0.482758621,0.552631579,0.552631579,0.973684211,0.552631579,0.0,0.0,0.611111111,0.611111111,0.977777778,0.6,0.0,0.0,-0.35,-0.21,-0.46,-0.01,0.0,-0.65,100.0,87.5,-1.0,-1.0,0.37,0.09,-1.0,-1.0,0.38,0.26,0.38,0.38,546659.78,170,32.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5263,0.10194700178994998,3215.6457647058824,103.86847425422764,1.0,0
0.44,0.45,0.78,0.69,0.71,0.67,0.69,0.54,0.71,0.67,0.69,0.54,0.71,0.67,0.71,0.71,0.71,0.44,0.73,0.43,0.32,0.29,0.32,0.61,0.32,0.29,0.32,0.61,0.31,0.0,0.32,0.31,0.0,0.33,2.02,0.92,1.92,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.892307692,0.892307692,0.876923077,0.876923077,0.907142857,0.907142857,0.935714286,0.9,0.0,0.0,0.87745098,0.87745098,0.906862745,0.87254902,12.5,13.66,6.34,0.09,-0.46,0.27,0.66,2.95,56.0,114.0,-1.0,-1.0,0.33,0.27,-1.0,-1.0,0.2,0.08,0.21,-0.12,353339.72,170,45.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5263,0.08420451120598188,2078.4689411764703,67.1365608968269,1.0,0
0.47,0.46,0.35,0.53,0.53,0.56,0.53,0.51,0.54,0.56,0.53,0.51,0.54,0.56,0.52,0.47,0.54,0.6,0.63,0.56,0.27,0.33,0.25,0.2,0.27,0.33,0.25,0.2,0.25,0.24,0.25,0.21,0.22,0.2,0.78,1.23,0.74,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7,0.7,0.85,0.7,0.764705882,0.764705882,0.915966387,0.764705882,0.0,0.0,0.752212389,0.752212389,0.920353982,0.752212389,0.0,0.0,-0.27,0.65,-0.42,-0.37,-0.53,-0.57,63.0,109.0,-1.0,-1.0,0.08,0.35,-1.0,-1.0,-0.09,0.13,-0.03,0.13,1116.11,171,30.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5259,0.09631262265302654,6.526959064327484,0.21222856056284461,1.0,0
0.84,0.86,0.94,0.48,0.48,0.61,0.48,0.49,0.48,0.62,0.48,0.49,0.48,0.62,0.49,0.48,0.49,0.68,0.77,0.63,0.41,0.41,0.41,0.58,0.41,0.41,0.41,0.58,0.41,0.33,0.42,0.63,0.7,0.59,1.12,1.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.777777778,0.777777778,0.916666667,0.75,0.80952381,0.80952381,0.920634921,0.793650794,0.0,0.0,0.757142857,0.757142857,0.885714286,0.735714286,0.0,0.05,-0.52,-0.1,-0.51,0.02,-0.11,-0.77,95.0,87.5,-1.0,-1.0,1.0,1.6,1.85,1.85,1.04,1.6,1.12,1.65,25610.24,169,50.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5257,0.07907177356584422,151.53988165680474,4.871645425147423,0.0,0
0.57,0.54,0.79,0.45,0.47,0.52,0.46,0.38,0.48,0.53,0.46,0.38,0.48,0.53,0.47,0.38,0.49,0.62,0.73,0.55,0.26,0.25,0.26,0.42,0.26,0.25,0.26,0.42,0.27,0.29,0.26,0.53,0.67,0.44,1.42,0.97,1.64,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.746268657,0.746268657,0.850746269,0.746268657,0.746835443,0.746835443,0.860759494,0.734177215,0.0,0.006097561,0.743902439,0.743902439,0.853658537,0.725609756,0.0,2.08,-0.48,-0.04,0.6,0.04,-0.01,-0.17,113.0,87.5,3.02,3.02,0.71,2.58,1.75,1.75,0.71,2.76,0.78,2.39,1421618.24,170,31.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5256,0.08044743698156603,8362.460235294118,270.4753120243531,1.0,0
0.47,0.45,0.47,0.43,0.43,0.31,0.43,0.43,0.43,0.31,0.43,0.43,0.43,0.31,0.41,0.38,0.43,0.29,0.25,0.31,0.2,0.2,0.19,0.15,0.2,0.2,0.19,0.15,0.2,0.2,0.19,0.15,0.15,0.15,1.16,1.01,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.02,1.34,-0.53,0.0,0.58,0.61,-0.49,-0.25,139.0,87.5,24.2,24.2,0.71,1.49,20.14,20.14,0.8,1.44,0.87,1.55,1000427.0,171,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5251,0.07976019607739576,5850.450292397661,190.52123405065703,1.0,0
0.49,0.53,0.45,0.45,0.43,0.39,0.45,0.47,0.43,0.39,0.45,0.47,0.43,0.39,0.45,0.47,0.43,0.42,0.47,0.39,0.23,0.24,0.23,0.18,0.23,0.24,0.23,0.18,0.22,0.19,0.23,0.18,0.18,0.18,0.92,1.01,0.75,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.718309859,0.718309859,1.0,0.718309859,0.722222222,0.722222222,1.0,0.722222222,0.0,0.0,0.706185567,0.706185567,0.984536082,0.706185567,0.01,1.65,-0.49,0.01,0.38,-0.06,0.18,-0.3,118.0,87.5,-1.0,-1.0,0.94,1.74,-1.0,-1.0,0.9,1.68,0.91,1.62,149622.54,169,38.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5250,0.09700874407747312,885.3404733727812,28.49953142857143,1.0,0
0.48,0.45,0.34,0.43,0.42,0.46,0.43,0.43,0.43,0.46,0.43,0.43,0.43,0.46,0.43,0.44,0.42,0.45,0.39,0.48,0.2,0.21,0.18,0.14,0.2,0.21,0.18,0.14,0.21,0.24,0.19,0.12,0.04,0.16,0.74,1.1,0.74,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.619047619,0.619047619,1.0,0.619047619,0.615384615,0.615384615,0.974358974,0.615384615,0.0,0.0,0.52238806,0.52238806,0.985074627,0.52238806,0.82,3.64,-0.17,-0.12,0.09,0.36,0.15,-0.09,253.0,87.5,-1.0,-1.0,0.23,0.7,-1.0,-1.0,0.25,0.7,0.22,0.62,670339.43,172,28.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5248,0.09696996326582241,3897.3222674418607,127.73236089939026,1.0,0
